instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,10,Train,1,2937.0,11780.0,2937.0,833.0,77.90450928381964,80.04348712373445,50.0,79.60729161032076,60.908336789713815,78.96675620626864,78.54620263579407,0.954043190848264,2.43913381485,340.62902573385,4.0,2613123.0,187216.0,1298863.5,0.0030080143140522463
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,10,Test,1,658.0,1286344.0,658.0,287.0,69.62962962962963,99.94887342832412,50.0,99.92662741556911,58.20433436532508,83.42303661886768,78.72540276923797,0.5299341305113685,2.43913381485,340.62902573385,4.0,2613123.0,187216.0,1298863.5,0.0030080143140522463
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,20,Train,1,3685.0,11797.0,3685.0,85.0,97.74535809018568,76.19816561167808,50.0,80.41761894868065,66.15798922800718,86.30189443765848,91.2812003466334,0.9957456543089249,2.2747499772166666,315.5830700714667,4.0,2705856.0,168686.0,1298863.5,0.0029972356602522127
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,20,Test,1,744.0,1280283.0,744.0,201.0,78.73015873015873,99.94192159884217,50.0,99.9262854414917,61.15906288532676,88.70424652334252,85.09368759076378,0.5216797172460417,2.2747499772166666,315.5830700714667,4.0,2705856.0,168686.0,1298863.5,0.0029972356602522127
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,30,Train,1,3701.0,11857.0,3701.0,69.0,98.16976127320955,76.21159532073531,50.0,80.49461920529801,66.25492302184033,86.49667114338585,91.58231148746728,0.9969720986965089,1.6267403402666667,333.79291656015,4.0,2532176.0,180772.0,1298863.5,0.0030080143140522463
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,30,Test,1,714.0,1283083.0,714.0,231.0,75.55555555555556,99.94438373044959,50.0,99.92644437560226,60.176991150442475,86.8985237930527,82.87220400802377,0.524932778485728,1.6267403402666667,333.79291656015,4.0,2532176.0,180772.0,1298863.5,0.0030080143140522463
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,10,Train,1,2993.0,11821.0,2993.0,777.0,79.38992042440319,79.79613878763332,50.0,79.71373224278949,61.35711357113571,79.59277045388508,79.51178593337224,0.9580542904945062,1.7867276472833333,367.959685949,4.0,2680996.0,199318.0,1298863.5,0.003013981068834408
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,10,Test,1,663.0,1287821.0,663.0,282.0,70.15873015873015,99.94854418060294,50.0,99.92671174605194,58.38837516512549,83.7392556745332,79.09567436529198,0.5348662699810375,1.7867276472833333,367.959685949,4.0,2680996.0,199318.0,1298863.5,0.003013981068834408
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,20,Train,1,3735.0,11947.0,3735.0,35.0,99.07161803713528,76.18288483611784,50.0,80.61895949002673,66.45907473309609,86.8767038247362,92.20499807683004,0.9980045735001718,2.2923023879166666,393.8580654806167,4.0,2628431.0,162087.0,1298863.5,0.003025914578398731
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,20,Test,1,758.0,1283332.0,758.0,187.0,80.21164021164022,99.94096986971319,50.0,99.92646114697266,61.60097521332792,89.5345135553425,86.13043910906211,0.5268792228031611,2.2923023879166666,393.8580654806167,4.0,2628431.0,162087.0,1298863.5,0.003025914578398731
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,30,Train,1,3763.0,11910.0,3763.0,7.0,99.81432360742706,75.99055700886875,50.0,80.60998817054981,66.62535410764872,87.09159573915188,92.66719362785956,0.9994406976719565,2.0541006747666666,381.8544956663333,4.0,2640881.0,180309.0,1298863.5,0.00301840801593085
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,30,Test,1,763.0,1285130.0,763.0,182.0,80.74074074074075,99.9406638032869,50.0,99.92656418290414,61.75637393767705,89.82918916253625,86.50071765950459,0.5310238288088092,2.0541006747666666,381.8544956663333,4.0,2640881.0,180309.0,1298863.5,0.00301840801593085
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,50,10,Train,1,2992.0,11779.0,2992.0,778.0,79.36339522546419,79.74409315550741,50.0,79.66668464484117,61.34919007586631,79.55351646531264,79.47760460447716,0.9599959922824124,2.3493210036333334,370.03963966811665,4.0,2547251.0,234523.0,1298863.5,0.0030033948909950893
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,50,10,Test,1,672.0,1289134.0,672.0,273.0,71.11111111111111,99.94789914142127,50.0,99.92678680860988,58.71559633027523,84.30543375825627,79.76214752020417,0.5410000830639621,2.3493210036333334,370.03963966811665,4.0,2547251.0,234523.0,1298863.5,0.0030033948909950893
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,50,20,Train,1,3751.0,11851.0,3751.0,19.0,99.49602122015915,75.95821048583515,50.0,80.53892215568862,66.55429382540808,86.93411138525526,92.43467799986195,0.9990664007558788,2.3135822815333333,396.1295726477667,4.0,2589820.0,161400.0,1298863.5,0.0030068594582879572
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,50,20,Test,1,757.0,1287612.0,757.0,188.0,80.1058201058201,99.94124354125255,50.0,99.92670520912671,61.56974379829199,89.47555686480823,86.05644713644983,0.5386244819951089,2.3135822815333333,396.1295726477667,4.0,2589820.0,161400.0,1298863.5,0.0030068594582879572
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,50,30,Train,1,3769.0,11843.0,3769.0,1.0,99.97347480106102,75.85831411734563,50.0,80.54896295531937,66.66077113547932,87.08512648473001,92.7389265959464,0.9998251585375576,2.5513445036,385.64456089945,4.0,2596112.0,234039.0,1298863.5,0.003005319650602238
